"","article.id","segment_n","just.dist","edge_age_years","season.f","matrix_type.f","edge_orient.f","percentrh_diff","percentsm_diff","percent_diff","percentPAR_diff","percentst_diff","percentVPD_diff","percentws_diff"
"244",43,"4",100,0,NA,1,1,0.116278070458871,0.233678059956743,-0.01,NA,NA,NA,NA
"245",43,"4",175,0,NA,1,1,0,0,0,NA,NA,NA,NA
"246",43,"5",0,0,NA,1,2,-0.121904569079439,-0.329679953964361,0,NA,NA,NA,NA
"247",43,"5",2,0,NA,1,2,-0.048770575499286,-0.316138590787644,-0.02,NA,NA,NA,NA
"248",43,"5",5,0,NA,1,2,-0.0582354664157513,-0.28822967723739,-0.03,NA,NA,NA,NA
"249",43,"5",10,0,NA,1,2,-0.0392105608476768,-0.251736432421435,-0.04,NA,NA,NA,NA
"250",43,"5",15,0,NA,1,2,-0.0676061800940518,-0.221199216928595,-0.03,NA,NA,NA,NA
"251",43,"5",25,0,NA,1,2,0.0408107741923882,-0.147856211033789,-0.03,NA,NA,NA,NA
"252",43,"5",40,0,NA,1,2,0.0304545339535169,-0.0392105608476768,-0.03,NA,NA,NA,NA
"253",43,"5",60,0,NA,1,2,0.0725081812542165,-0.0768836536133642,-0.03,NA,NA,NA,NA
"254",43,"5",80,0,NA,1,2,0.0725081812542165,-0.139292023574942,-0.03,NA,NA,NA,NA
"255",43,"5",100,0,NA,1,2,0.0941742837052104,-0.0392105608476768,-0.02,NA,NA,NA,NA
"256",43,"5",175,0,NA,1,2,0,0,0,NA,NA,NA,NA
"257",43,"6",0,0,NA,1,8,-0.0198013266932447,NA,0.02,NA,NA,NA,NA
"258",43,"6",2,0,NA,1,8,-0.0392105608476768,NA,0.01,NA,NA,NA,NA
"259",43,"6",5,0,NA,1,8,-0.0198013266932447,NA,0,NA,NA,NA,NA
"260",43,"6",10,0,NA,1,8,0,-0.0860688147287718,0,NA,NA,NA,NA
"261",43,"6",15,0,NA,1,8,0,-0.0951625819640404,-0.01,NA,NA,NA,NA
"262",43,"6",25,0,NA,1,8,0,-0.0198013266932447,0,NA,NA,NA,NA
"263",43,"6",40,0,NA,1,8,0.0100501670841681,0.150273798857227,0,NA,NA,NA,NA
"264",43,"6",60,0,NA,1,8,0.0304545339535169,0.185304851320366,0.02,NA,NA,NA,NA
"265",43,"6",80,0,NA,1,8,0.0202013400267558,0.161834242728283,0.01,NA,NA,NA,NA
"266",43,"6",100,0,NA,1,8,0.0202013400267558,-0.244216258544275,0,NA,NA,NA,NA
"267",43,"6",175,0,NA,1,8,0,0,0,NA,NA,NA,NA
"268",43,"a",0,0,NA,1,2,-0.0295544664514918,-0.213372138933447,0.03,NA,NA,NA,NA
"269",43,"a",2,0,NA,1,2,-0.0198013266932447,-0.236620505663147,0.03,NA,NA,NA,NA
"270",43,"a",5,0,NA,1,2,-0.0198013266932447,-0.221199216928595,0.04,NA,NA,NA,NA
"271",43,"a",10,0,NA,1,2,0,-0.228948414196434,0.03,NA,NA,NA,NA
"272",43,"a",15,0,NA,1,2,-0.0198013266932447,-0.104165864703472,0.02,NA,NA,NA,NA
"273",43,"a",25,0,NA,1,2,-0.00995016625083195,-0.121904569079439,0.02,NA,NA,NA,NA
"274",43,"a",40,0,NA,1,2,0,-0.048770575499286,0.02,NA,NA,NA,NA
"275",43,"a",60,0,NA,1,2,0.0202013400267558,-0.173040866056638,0.02,NA,NA,NA,NA
"276",43,"a",80,0,NA,1,2,0.0304545339535169,-0.147856211033789,0.02,NA,NA,NA,NA
"277",43,"a",100,0,NA,1,2,0.0304545339535169,-0.0676061800940518,0.01,NA,NA,NA,NA
"278",43,"a",175,0,NA,1,2,0,0,0,NA,NA,NA,NA
"279",43,"b",0,0,NA,1,6,-0.0951625819640404,-0.266553043775711,0.13,NA,NA,NA,NA
